ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,1.429,-3.49,23.801,11.89,284.938,33.391,3.093,30.666,2.8789999999999996,2.812,6.024e-05,Na6S6,mp-409
Metal,0.0,-6.882000000000001,276.13,148.50799999999998,512.9159999999999,29.675,2.575,29.206999999999997,2.472,2.763,6.409999999999999e-05,Ir4N8,mp-415
Metal,0.0,-6.107,155.825,77.334,542.776,18.281,2.611,18.035999999999998,2.556,3.634,5.415e-05,Yb1B6,mp-419
Insulator,2.533,-4.6160000000000005,86.459,62.043,670.37,4.652,2.399,4.405,2.349,4.487,6.095e-05,Be1S1,mp-422
Insulator,2.6630000000000003,-7.83,187.36599999999999,112.34899999999999,718.4730000000001,27.123,2.266,27.584,2.18,2.846,6.089e-05,Ti4O8,mp-430
Insulator,0.7759999999999999,-7.159,52.78,29.158,257.954,57.121,2.9730000000000003,56.053999999999995,2.887,2.489,5.229e-05,Nd8S12,mp-438
Insulator,1.6019999999999999,-2.5660000000000003,8.962,2.585,95.484,10.394,3.364,9.025,2.9989999999999997,3.528,6.095e-05,Rb2Te1,mp-441
Insulator,6.112,-4.037,23.590999999999998,12.167,256.688,6.739,3.377,5.522,2.9130000000000003,3.713,6.886e-05,K1F1,mp-463
Metal,0.0,-6.4510000000000005,99.824,48.626999999999995,481.24199999999996,52.815,2.741,50.435,2.6519999999999997,3.737,6.4e-05,Nb6F15,mp-466
Metal,0.0,-8.505,161.202,58.611000000000004,293.156,19.782,2.935,20.099,2.8560000000000003,2.699,5.535e-05,Th3N4,mp-467
Insulator,7.595,-5.767,95.584,59.541000000000004,682.007,19.614,2.417,19.715,2.362,3.946,6.257e-05,Al2F6,mp-468
Insulator,1.213,-6.202000000000001,187.08599999999998,110.54899999999999,654.889,14.280999999999999,2.448,14.181,2.3819999999999997,2.9530000000000003,6.038e-05,Ge2O4,mp-470
Insulator,0.248,-3.323,45.46,19.724,212.188,18.033,3.0580000000000003,17.262,2.932,2.423,6.105e-05,Cd2As4,mp-471
Insulator,1.452,-4.7589999999999995,48.596000000000004,25.726,436.61,137.618,2.752,134.716,2.673,2.759,6.045e-05,Na12P44,mp-473
Insulator,1.518,-6.55,183.09599999999998,117.164,645.229,31.980999999999998,2.4130000000000003,32.422,2.398,2.737,6.488e-05,Ge6N8,mp-476
Insulator,0.36200000000000004,-3.714,38.275999999999996,12.492,170.158,29.151999999999997,3.028,28.455,2.9330000000000003,2.7060000000000004,5.44e-05,Te6As4,mp-484
Metal,0.0,-4.4910000000000005,111.639,69.59899999999999,494.79400000000004,17.938,2.7110000000000003,15.732000000000001,2.576,3.136,6.099e-05,Ni2P4,mp-486
