ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Metal,0.0,-3.543,114.976,51.398,372.929,8.344,2.851,8.343,2.778,3.353,6.264e-05,Ti2Zn1,mp-1014229
Metal,0.0,-6.75,108.193,42.374,212.942,8.627,2.981,8.651,2.926,3.185,5.372e-05,Hf2Zn1,mp-1014231
Insulator,2.337,-6.416,149.913,88.548,529.779,13.139,2.69,12.614,2.589,3.242,6.034e-05,Sr1Ge1O3,mp-1016999
Metal,0.0,-8.852,129.27,57.58,339.311,22.2,2.847,22.242,2.793,3.064,5.981e-05,Zr6O2,mp-1017
Insulator,3.883,-7.186,166.199,107.121,624.326,12.127,2.453,11.652,2.414,3.298,6.109e-05,Sr1Si1O3,mp-1017439
Insulator,1.155,-3.238,41.568,19.178,210.375,12.359,3.061,11.748,2.928,3.359,6.037e-05,Mg2Te2,mp-1017510
Metal,0.0,-8.484,262.104,107.729,321.103,11.319,2.863,11.285,2.83,2.864,5.317e-05,Zr1Os3,mp-1017542
Metal,0.0,-4.886,160.491,64.22,297.636,11.624,2.913,11.353,2.849,3.008,6.099e-05,Zr1Pd3,mp-1017543
Metal,0.0,-6.822,211.561,70.076,324.138,11.292,2.85,11.225,2.819,2.858,6.162e-05,Zr1Ru3,mp-1017544
Metal,0.0,-5.994,154.306,88.59,428.425,13.672,2.835,13.431,2.726,2.975,5.174e-05,Ge1Pb1O3,mp-1017566
Metal,0.0,-7.106,218.718,60.21,344.762,11.41,2.843,11.14,2.805,2.999,6.188e-05,Ti1Mo3,mp-1017983
Insulator,2.991,-6.136,91.082,44.935,404.282,11.884,2.845,11.055,2.747,3.412,6.04e-05,Sr1Ca1O2,mp-1017988
Metal,0.0,-4.328,46.597,21.18,180.974,12.409,3.064,11.697,2.948,2.505,5.252e-05,Pb2S2,mp-1018019
Metal,0.0,-5.896,138.504,86.295,572.191,5.329,2.581,5.126,2.559,3.195,6.059e-05,Ti1S1,mp-1018028
Insulator,2.306,-5.319,55.763,31.874,301.156,12.751,2.996,12.23,2.859,3.386,6.04e-05,Sr2S1O1,mp-1018030
