,aflow_bg,aflow_bg_fit,aflow_sg_orig,aflow_sg_relax,aflow_icsd
106,1.2634,2.61606,186.0,186.0,31074.0
107,3.5051,5.6378699999999995,70.0,70.0,35227.0
108,3.9644,6.25701,206.0,206.0,27774.0
109,,,,,29128.0
110,1.5733,3.03381,15.0,15.0,2004.0
111,2.4452,4.20913,4.0,4.0,16681.0
112,,,,,16997.0
113,,,,,181278.0
114,0.3921,1.44155,62.0,62.0,17006.0
115,,,,,23719.0
116,,,,,412593.0
117,,,,,34685.0
118,,,,,90992.0
119,,,,,24022.0
120,0.8759999999999999,2.09385,205.0,205.0,15026.0
121,3.1446,5.15192,152.0,152.0,200730.0
122,0.7001,1.85673,194.0,194.0,26880.0
123,3.4204,5.5237,59.0,71.0,83863.0
124,,,,,25007.0
125,,,,,26878.0
126,1.1592,2.4756,58.0,58.0,25680.0
127,1.2009,2.5318099999999997,164.0,164.0,41375.0
128,0.4776,1.5568,58.0,58.0,994.0
129,1.9224,3.5044,186.0,186.0,34476.0
130,3.945,6.23086,206.0,206.0,27773.0
131,0.0,0.0,216.0,216.0,24175.0
132,,,,,
133,4.1591,6.51947,140.0,140.0,
134,1.7472,3.26823,216.0,216.0,
135,1.9834,3.58662,194.0,194.0,25530.0
136,1.1167,2.41831,206.0,206.0,34678.0
137,,,,,9163.0
138,,,,,26753.0
139,,,,,34268.0
140,0.0,0.0,198.0,198.0,36188.0
141,1.4639,2.88634,11.0,11.0,22252.0
142,0.0851,1.0277100000000001,225.0,225.0,
143,2.1577,3.8215800000000004,12.0,12.0,34243.0
144,,,,,
145,1.3414,2.7212099999999997,14.0,14.0,2600.0
146,1.4453,2.8612599999999997,96.0,96.0,16500.0
147,,,,,
148,0.8759,2.0937099999999997,14.0,14.0,35282.0
149,0.6344,1.76817,160.0,160.0,655497.0
150,1.9593,3.5541400000000003,224.0,224.0,78718.0
151,,,,,56696.0
152,1.7127,3.22172,225.0,225.0,44674.0
153,,,,,42070.0
154,,,,,63360.0
155,,,,,106075.0
156,,,,,40414.0
157,4.4979,6.97617,194.0,194.0,
158,,,,,16818.0
159,1.5922,3.0592900000000003,225.0,225.0,29152.0
160,2.3206,4.04117,225.0,225.0,26735.0
161,6.6176,9.83352,225.0,225.0,
162,2.3633,4.098730000000001,186.0,186.0,
163,3.4175,5.51979,206.0,206.0,
164,0.7709,1.9521700000000002,167.0,167.0,162792.0
165,,,,,40474.0
166,0.6891,1.84191,186.0,186.0,41491.0
