,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
2093,mp-8360,Rb4Te4,RbTe,0.0,0.47566374478381607,1.0,0.625,1.0,0.5155714285714286,1.0,0.9183682067183131
2225,mp-8860,Na3As1,Na3As,1.0,0.8917257631428467,1.0,0.625,1.0,0.6968333333333334,1.0,0.999970806107727
2255,mp-8938,Si6Mo3,Si2Mo,1.0,0.8771571976121854,1.0,1.0,1.0,0.7407392037786775,1.0,0.9531896429710104
2256,mp-8939,Si6W3,Si2W,1.0,0.758256854494626,1.0,1.0,1.0,0.6914058704453442,1.0,0.9936288342064831
2354,mp-9248,Cu4Si2S6,Cu2SiS3,1.0,0.8315008750035027,1.0,1.0,1.0,0.7449935897435899,1.0,0.999970806107727
2357,mp-9252,Hg3S3,HgS,1.0,0.5132400410584775,1.0,1.0,1.0,0.59575,1.0,0.999970806107727
2412,mp-9410,C12N16,C3N4,1.0,0.6577943403923413,1.0,1.0,1.0,0.547,1.0,0.999970806107727
2446,mp-9538,Ag6As2S8,Ag3AsS4,1.0,0.7748912113339632,1.0,1.0,1.0,0.81875,1.0,0.999970806107727
2448,mp-9548,Ge6As6,GeAs,1.0,0.9492355912399093,1.0,1.0,1.0,0.8282272990167726,1.0,0.999970806107727
2582,mp-9900,Ag4Ge2S6,Ag2GeS3,1.0,0.7254622282363163,1.0,1.0,1.0,0.7034166666666667,1.0,0.999970806107727
2596,mp-10009,Ga4Te4,GaTe,1.0,0.8695165136122723,1.0,1.0,1.0,0.7983333333333333,1.0,0.999970806107727
2597,mp-10013,Sn1S1,SnS,1.0,0.9925764904821099,1.0,1.0,1.0,0.9797435897435898,1.0,0.999970806107727
2598,mp-10044,B1As1,BAs,1.0,0.9807190690862035,1.0,1.0,1.0,0.9663225371120109,1.0,0.999970806107727
2613,mp-10159,K3Sb1,K3Sb,1.0,0.9353055886716324,1.0,0.625,1.0,0.89,1.0,0.999970806107727
2649,mp-10378,Cs3Sb1,Cs3Sb,1.0,0.9808475136417361,1.0,0.625,1.0,0.8875,1.0,0.999970806107727
2692,mp-10525,Na1Li2N1,NaLi2N,1.0,0.8109892276978129,1.0,0.625,1.0,0.7714166666666666,1.0,0.999970806107727
2714,mp-10627,Sr1S1,SrS,1.0,0.7750647157628661,1.0,0.625,1.0,0.51725,1.0,0.999970806107727
2716,mp-10648,Yb2Se2,YbSe,1.0,0.9269251497464833,1.0,0.625,1.0,0.77,1.0,0.999970806107727
2717,mp-10653,Sr1Te1,SrTe,1.0,0.9583557208911597,1.0,0.625,1.0,0.9233333333333333,1.0,0.999970806107727
2719,mp-10680,Ba1Se1,BaSe,1.0,0.8106512391000318,1.0,0.625,1.0,0.8433333333333333,1.0,0.999970806107727
2724,mp-10759,Ge1Se1,GeSe,1.0,0.9730173209843802,1.0,0.625,1.0,0.8713225371120109,1.0,0.999970806107727
2725,mp-10760,Mg1Se1,MgSe,1.0,0.9106011570641588,1.0,0.625,1.0,0.9433333333333332,1.0,0.999970806107727
2749,mp-10824,Zn1Cu2Ge1Se4,ZnCu2GeSe4,1.0,0.9683291857113094,1.0,1.0,1.0,0.9883333333333333,1.0,0.999970806107727
2774,mp-10967,Cd1Cu2Ge1Se4,CdCu2GeSe4,1.0,0.9313915831108037,1.0,1.0,1.0,0.8885,1.0,0.999970806107727
2796,mp-11025,Zn8P16,ZnP2,1.0,0.8637921582345492,1.0,1.0,1.0,0.7048269230769231,1.0,0.999970806107727
2812,mp-11151,Na4Pr4Te8,NaPrTe2,1.0,0.5602558784724052,1.0,1.0,1.0,0.608328947368421,1.0,0.9936288342064831
2821,mp-11191,Cr3Si6,CrSi2,1.0,0.9577336158988653,1.0,1.0,1.0,0.9089892037786774,1.0,0.9531896429710104
2824,mp-11327,Rb2Se1,Rb2Se,1.0,0.5082026287436927,1.0,0.625,1.0,0.5311666666666668,1.0,0.9630988868125224
2825,mp-11342,Ga2Se2,GaSe,1.0,0.8734088585244987,1.0,1.0,1.0,0.8283333333333333,1.0,0.999970806107727
2829,mp-11582,Li4Ga4Se8,LiGaSe2,1.0,0.7394275523531401,1.0,1.0,1.0,0.7245,1.0,0.999970806107727
2837,mp-11607,Si6N8,Si3N4,1.0,0.7593586678931845,1.0,1.0,1.0,0.7406602564102565,1.0,0.8691802453936546
2907,mp-12103,N2,N2,1.0,0.9913057508348598,1.0,1.0,1.0,0.96,1.0,0.999970806107727
2908,mp-12112,Cd8P16,CdP2,1.0,0.7986771127709056,1.0,1.0,1.0,0.6471602564102565,1.0,0.999970806107727
3021,mp-12779,Cd2Te2,CdTe,1.0,0.9973797391207583,1.0,1.0,1.0,0.95,1.0,0.999970806107727
3028,mp-12855,Cu2Hg1Ge1Se4,Cu2HgGeSe4,1.0,0.9034940098514868,1.0,1.0,1.0,0.82475,1.0,0.999970806107727
3040,mp-12910,Ge2S2,GeS,1.0,0.9128882170692957,1.0,1.0,1.0,0.7078062463851938,1.0,0.999970806107727
3052,mp-12954,Cu2B2S4,CuBS2,1.0,0.5407107836255289,1.0,1.0,1.0,0.6326558704453441,1.0,0.6951502689813632
3065,mp-13031,Mg1Se1,MgSe,1.0,0.9722578816560844,1.0,0.625,1.0,0.8912435897435897,1.0,0.999970806107727
3066,mp-13032,Mg1S1,MgS,1.0,0.9872047588319788,1.0,0.625,1.0,0.8712435897435897,1.0,0.999970806107727
3067,mp-13033,Mg1Te1,MgTe,1.0,0.9873444439092376,1.0,0.625,1.0,0.9015000000000001,1.0,0.999970806107727
3082,mp-13099,Y1N1,YN,1.0,0.9291060259693407,1.0,0.625,1.0,0.8893582513977251,1.0,0.999970806107727
3089,mp-13151,B4N4,BN,1.0,0.9618769981191441,1.0,1.0,1.0,0.8513333333333334,1.0,0.5789441802102188
3091,mp-13181,La1F3,LaF3,0.0,0.3634592607129058,1.0,0.625,1.0,0.5890249180643917,1.0,0.999970806107727
3227,mp-13949,Cd1Ga2Te4,Cd(GaTe2)2,1.0,0.8256236713431577,1.0,1.0,1.0,0.6970000000000001,1.0,0.999970806107727
3239,mp-13982,Cd2Cu4Ge2S8,CdCu2GeS4,1.0,0.8504573669975014,1.0,1.0,1.0,0.7469102564102564,1.0,0.999970806107727
3274,mp-14091,Al2Ag2Se4,AlAgSe2,1.0,0.7784431918224732,1.0,1.0,1.0,0.6588333333333334,1.0,0.999970806107727
3275,mp-14092,Al2Ag2Te4,AlAgTe2,1.0,0.9332912087622056,1.0,1.0,1.0,0.8885,1.0,0.999970806107727
3562,mp-15252,Cu4Ge2S6,Cu2GeS3,1.0,0.9332236720883924,1.0,1.0,1.0,0.9447435897435897,1.0,0.999970806107727
3630,mp-15649,As8Ir4,As2Ir,1.0,0.824737979616046,1.0,1.0,1.0,0.578328947368421,1.0,0.8793587738392741
3639,mp-15704,Be2Si2N4,BeSiN2,1.0,0.8490557259358431,1.0,1.0,1.0,0.719279304029304,1.0,0.9824024916963037
3651,mp-15776,Zn1Ga2Se4,Zn(GaSe2)2,1.0,0.877592542506035,1.0,1.0,1.0,0.7480000000000001,1.0,0.999970806107727
3652,mp-15777,Zn1Ga2Te4,Zn(GaTe2)2,1.0,0.8857049057464245,1.0,1.0,1.0,0.7463333333333334,1.0,0.999970806107727
3676,mp-15895,Cu4Si2S6,Cu2SiS3,1.0,0.8395543223033659,1.0,1.0,1.0,0.7162435897435898,1.0,0.999970806107727
3677,mp-15896,Cu4Si2Se6,Cu2SiSe3,1.0,0.9466165996054169,1.0,1.0,1.0,0.96875,1.0,0.999970806107727
3684,mp-15954,As8Rh4,As2Rh,1.0,0.8692938436564384,1.0,1.0,1.0,0.5669729130518604,1.0,0.8793587738392741
3746,mp-16337,Ga2Hg1Te4,Ga2HgTe4,1.0,0.8154519290000874,1.0,1.0,1.0,0.637,1.0,0.999970806107727
3748,mp-16364,Sn1Te1,SnTe,1.0,0.9988293850113057,1.0,1.0,1.0,0.94,1.0,0.999970806107727
3775,mp-16565,Cd1Cu2Sn1Se4,CdCu2SnSe4,1.0,0.8782507514704617,1.0,1.0,1.0,0.7063333333333334,1.0,0.999970806107727
4419,mp-18337,Be24N16,Be3N2,0.0,0.2740010359107822,1.0,1.0,1.0,0.5820000000000001,1.0,0.999970806107727
