,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
5768,mp-23155,Ar1,Ar,1.0,0.9617105706460639,1.0,1.0,1.0,0.773855834574478,1.0,0.999970806107727,8.6048
5769,mp-23156,He2,He,1.0,0.9792137735561752,1.0,1.0,1.0,0.8211599671949316,1.0,0.999970806107727,17.775399999999998
5770,mp-23158,He1,He,1.0,0.9884435599640373,1.0,1.0,1.0,0.9608571398009847,1.0,0.999970806107727,17.6526
5771,mp-23160,Th2Br8,ThBr4,0.0,0.04757705114295006,0.0,0.03496503496503497,0.0,0.19905364829144226,1.0,0.9996280992544136,3.0052
5772,mp-23162,Zr1Cl2,ZrCl2,0.0,0.0891936530435875,0.0,0.03496503496503497,0.0,0.2829129201870174,1.0,0.9999655705996782,0.8613999999999997
5775,mp-23167,Tl1Cl1,TlCl,1.0,0.8584000932138542,1.0,1.0,1.0,0.7044891192460345,1.0,0.999970806107727,2.5887000000000002
5778,mp-23173,Hg2I4,HgI2,0.0,0.27107661491841845,1.0,1.0,0.0,0.46639224589326483,1.0,0.999970806107727,2.5784000000000002
5781,mp-23177,Hg2Br2,HgBr,1.0,0.703957345909693,0.0,0.0,1.0,0.690566398092743,1.0,0.9858289955894516,2.4641
5784,mp-23182,Sn8I32,SnI4,0.0,0.3441220647694223,1.0,1.0,1.0,0.6169650968797691,1.0,0.999970806107727,2.0284
5787,mp-23185,Xe2F8,XeF4,0.0,0.13920267552561888,0.0,0.0,0.0,0.26741928181728186,1.0,0.9993078543654069,2.8635
5788,mp-23192,Hg2I4,HgI2,0.0,0.4438124163680831,1.0,1.0,1.0,0.5856821901730264,1.0,0.8406626326648935,1.8528
5789,mp-23193,K1Cl1,KCl,1.0,0.7482345793221777,0.0,0.0,1.0,0.5003284318060635,0.0,0.01060183018097203,5.0448
5791,mp-23197,Tl1I1,TlI,1.0,0.9045037256113443,1.0,1.0,1.0,0.7044891192460345,1.0,0.999970806107727,2.2503
5793,mp-23202,In2I2,InI,1.0,0.6333535126000124,0.0,0.0,1.0,0.5129108068020886,0.0,0.01060183018097203,1.7440000000000002
5794,mp-23205,Mg1I2,MgI2,0.0,0.1148000671098013,0.0,0.0,0.0,0.22654841393093364,1.0,0.9988838168413506,3.6766
5799,mp-23212,Cu8Br8,CuBr,1.0,0.9012242165259857,1.0,1.0,1.0,0.7261468286011578,1.0,0.999970806107727,0.17020000000000035
5806,mp-23222,Li3Bi1,Li3Bi,1.0,0.8078004577057067,0.0,0.0,1.0,0.5787317832581867,0.0,1.411124751240303e-05,0.3798999999999997
5808,mp-23227,Cu2Br2,CuBr,1.0,0.8798332955669351,0.0,0.0,1.0,0.7996938207613007,0.0,0.01060183018097203,0.43210000000000015
5812,mp-23231,Ag1Br1,AgBr,1.0,0.9039365205898955,1.0,1.0,1.0,0.7067291502867011,1.0,0.999970806107727,0.7946
5816,mp-23251,K1Br1,KBr,1.0,0.7912818713217237,0.0,0.0,1.0,0.5945732966263685,0.0,0.01060183018097203,4.5151
5819,mp-23259,Li1Br1,LiBr,1.0,0.8804805914406026,1.0,1.0,1.0,0.7238134952678243,1.0,0.999970806107727,5.09
5823,mp-23263,La2Br6,LaBr3,0.0,0.09520069697187432,0.0,0.03496503496503497,0.0,0.22982527045102405,1.0,0.9996320109466692,2.9266
5826,mp-23266,Ge8I32,GeI4,0.0,0.32735169405739606,1.0,1.0,1.0,0.5269660773425793,1.0,0.999970806107727,1.996
5828,mp-23268,Na1I1,NaI,1.0,0.7993928823128604,0.0,0.0,1.0,0.5868270845051563,0.0,0.01060183018097203,3.5692000000000004
5829,mp-23270,Th6Bi8,Th3Bi4,0.0,0.09035979951112078,1.0,1.0,0.0,0.4652213352372161,1.0,0.8406626326648935,0.20979999999999954
5831,mp-23276,In32Cl32,InCl,0.0,0.06208879112814454,0.0,0.03496503496503497,0.0,0.2063347329475269,1.0,0.9996879972879715,2.1876999999999995
5834,mp-23287,Cu8Cl8,CuCl,1.0,0.8311363250698568,0.0,0.0,1.0,0.5085183268154865,0.0,1.411124751240303e-05,0.4510000000000005
5836,mp-23289,K1Cl1,KCl,1.0,0.7891175054997912,0.0,0.0,0.0,0.47809892538016513,0.0,1.411124751240303e-05,4.8217
5841,mp-23295,Rb1Cl1,RbCl,1.0,0.7073024039851213,0.0,0.0,0.0,0.49224678065199845,0.0,0.01060183018097203,5.0161999999999995
5843,mp-23299,Rb1Cl1,RbCl,1.0,0.7708922509640268,0.0,0.0,1.0,0.5408484267228364,0.0,0.01060183018097203,4.7979
5844,mp-23301,Bi1F3,BiF3,1.0,0.8069624919120889,0.0,0.0,0.0,0.49560132760659925,0.0,1.411124751240303e-05,4.0229
5845,mp-23302,Rb1I1,RbI,1.0,0.8511339484815708,1.0,1.0,1.0,0.7044891192460345,1.0,0.999970806107727,3.9656
