,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
741,mp-4008,Zn2Ge2As4,ZnGeAs2,1.0,0.5032023240084341,1.0,0.9594594594594594,1.0,0.536919992226009,1.0,0.9752583814559369
862,mp-4524,Zn2Ge2P4,ZnGeP2,1.0,0.9080936383088253,1.0,0.9594594594594594,1.0,0.8201881891361137,1.0,0.9972973657602962
943,mp-4763,Zn2Si2P4,ZnSiP2,1.0,0.787319657009509,1.0,0.9594594594594594,1.0,0.5534299421740776,1.0,0.9792681064109714
1061,mp-5213,Cd2Sn2P4,CdSnP2,1.0,0.5434766120789071,1.0,0.9594594594594594,1.0,0.698279006145697,1.0,0.985203878748691
1068,mp-5238,Ga2Cu2S4,GaCuS2,1.0,0.8315651401653656,1.0,0.9594594594594594,1.0,0.6838358167695424,1.0,0.9966734378360436
1834,mp-7599,Be4O4,BeO,1.0,0.8861820771526191,1.0,0.8888888888888888,1.0,0.5783376824413975,1.0,0.9594638656729538
1933,mp-7913,Be4Si4N8,BeSiN2,1.0,0.8642218363502663,1.0,0.8888888888888888,1.0,0.6694739736286391,1.0,0.8854717965573315
2596,mp-10013,Sn1S1,SnS,1.0,0.8707506211576315,1.0,0.9594594594594594,1.0,0.7326351553604669,1.0,0.9616405385759876
2597,mp-10044,B1As1,BAs,1.0,0.7125621173630153,1.0,0.9594594594594594,1.0,0.6046826684774874,1.0,0.9891555893140116
2820,mp-11191,Cr3Si6,CrSi2,1.0,0.8195683978011645,1.0,0.8888888888888888,1.0,0.6519216337908241,1.0,0.782244999876829
2906,mp-12103,N2,N2,1.0,0.9440640767991597,1.0,0.9594594594594594,1.0,0.6590756714833177,1.0,0.6525708747214015
3064,mp-13031,Mg1Se1,MgSe,1.0,0.8408675175640108,1.0,0.9594594594594594,1.0,0.7707134254569143,1.0,0.8984912990320688
3065,mp-13032,Mg1S1,MgS,1.0,0.8596544922314915,1.0,0.9594594594594594,1.0,0.6889323510407466,1.0,0.9808511095443013
3066,mp-13033,Mg1Te1,MgTe,1.0,0.9280258170234236,1.0,0.9594594594594594,1.0,0.7715593202714,1.0,0.9585757100072807
3081,mp-13099,Y1N1,YN,1.0,0.8254962822408772,1.0,0.9594594594594594,1.0,0.6057906329949119,1.0,0.9769355405610715
3088,mp-13151,B4N4,BN,1.0,0.9981573540382798,1.0,0.8888888888888888,1.0,0.7045308880308879,1.0,0.9891076501932148
3274,mp-14092,Al2Ag2Te4,AlAgTe2,1.0,0.5612132790082764,1.0,0.9594594594594594,1.0,0.5364601822943172,1.0,0.8174594437715242
3638,mp-15703,Be2C2N4,BeCN2,1.0,0.9820825498599038,1.0,0.8888888888888888,1.0,0.5285714285714286,1.0,0.6800313389608229
3639,mp-15704,Be2Si2N4,BeSiN2,1.0,0.8254916294584449,1.0,0.8888888888888888,1.0,0.6242288256892015,1.0,0.9165210490885942
