,oqmd_bg,oqmd_sg,oqmd_icsd
91,3.03,92.0,25706.0
92,1.084,227.0,151782.0
93,5.85,167.0,22197.0
94,0.985,194.0,15431.0
95,2.824,15.0,16802.0
96,2.063,15.0,1703.0
97,1.3530000000000002,164.0,164289.0
98,2.795,166.0,107916.0
99,,,
100,1.8430000000000002,14.0,15239.0
101,,,
102,,,
103,2.628,225.0,56024.0
104,4.452,186.0,31169.0
105,0.759,164.0,43594.0
106,1.415,186.0,31074.0
107,3.7089999999999996,70.0,35227.0
108,4.2330000000000005,206.0,27774.0
109,6.852,225.0,29128.0
110,1.78,15.0,2004.0
111,2.309,4.0,16681.0
112,0.706,62.0,16997.0
113,1.087,205.0,181278.0
114,0.899,62.0,17006.0
115,0.8540000000000001,139.0,23719.0
116,0.774,19.0,412593.0
117,8.961,36.0,34685.0
118,2.542,57.0,90992.0
119,3.4810000000000003,135.0,24022.0
120,1.2429999999999999,205.0,15026.0
121,3.63,152.0,200730.0
122,0.953,194.0,26880.0
123,3.468,62.0,83863.0
124,4.461,140.0,25007.0
125,0.763,194.0,26878.0
126,0.389,58.0,25680.0
127,0.45399999999999996,164.0,41375.0
128,0.518,58.0,994.0
129,2.0909999999999997,186.0,34476.0
130,4.253,206.0,27773.0
131,0.18100000000000002,216.0,24175.0
132,,,
133,,,
134,,,
135,2.443,194.0,25530.0
136,1.261,206.0,34678.0
137,1.329,136.0,9163.0
138,0.223000000000001,221.0,26753.0
139,1.6340000000000001,140.0,34268.0
140,0.17600000000000002,198.0,36188.0
141,1.515,11.0,22252.0
142,,,
143,2.616,12.0,34243.0
144,,,
145,1.114,14.0,2600.0
146,1.535,96.0,16500.0
147,,,
148,0.935,14.0,35282.0
149,0.752,160.0,655497.0
150,2.008,224.0,78718.0
151,3.0069999999999997,62.0,56696.0
152,2.202,225.0,44674.0
153,0.682,62.0,42070.0
154,6.462000000000001,12.0,63360.0
155,0.287,62.0,106075.0
156,7.434,225.0,40414.0
157,,,
158,4.431,176.0,16818.0
159,1.7080000000000002,225.0,29152.0
160,2.438,225.0,26735.0
161,,,
162,,,
163,,,
164,0.946,167.0,162792.0
165,4.169,206.0,40474.0
166,0.863,186.0,41491.0
167,,,
168,2.7319999999999998,225.0,28900.0
169,1.124,139.0,23685.0
170,,,
171,2.349,139.0,24248.0
172,0.568,62.0,422.0
173,,,
174,4.058,62.0,91282.0
175,11.007,225.0,41409.0
176,,,
177,1.0859999999999999,62.0,31653.0
178,,,
179,,,
180,0.366,216.0,41675.0
181,10.34,15.0,65786.0
182,1.541,164.0,29012.0
183,1.1520000000000001,41.0,23638.0
184,1.0170000000000001,164.0,56012.0
185,1.52,216.0,41527.0
186,,,
187,0.205,166.0,2084.0
188,3.583,225.0,151764.0
189,1.535,218.0,43518.0
190,0.412999999999998,180.0,16836.0
191,1.078,62.0,14124.0
192,0.199000000000001,204.0,34050.0
193,3.145,167.0,27431.0
194,0.5870000000000001,62.0,43028.0
195,0.620000000000001,14.0,42620.0
196,7.644,136.0,394.0
197,2.102,225.0,43655.0
198,5.3,225.0,9863.0
199,,,
200,3.495,142.0,28066.0
201,0.744000000000001,62.0,66531.0
202,,,
203,0.515000000000001,58.0,30443.0
204,1.5519999999999998,189.0,43406.0
205,,,
206,2.951,225.0,28903.0
207,0.266,204.0,34048.0
208,,,
209,,,
210,1.22,9.0,35028.0
211,2.1109999999999998,225.0,26961.0
212,0.489,189.0,26261.0
213,2.104,166.0,71065.0
214,0.307,220.0,648207.0
215,0.281000000000001,225.0,104864.0
216,,,
217,3.45,71.0,25705.0
218,,,
219,,,
220,1.6369999999999998,225.0,77676.0
221,,,
222,0.996,62.0,72821.0
223,0.233,225.0,106594.0
224,0.593,58.0,992.0
225,2.164,225.0,41957.0
226,2.032,15.0,8276.0
227,4.319,199.0,33659.0
228,1.175,160.0,38401.0
229,2.528,60.0,15328.0
230,2.943,14.0,32592.0
231,,,
232,,,
233,2.6010000000000004,62.0,417155.0
234,0.925,62.0,15126.0
235,1.367,216.0,29050.0
236,2.249,225.0,30240.0
237,0.774,62.0,1435.0
238,,,
239,1.6440000000000001,225.0,41958.0
240,0.958,58.0,42726.0
241,0.769,14.0,43505.0
242,,,
243,1.751,216.0,24490.0
244,0.258,38.0,73178.0
245,1.794,206.0,23522.0
246,3.843,14.0,15983.0
247,,,
248,1.2990000000000002,225.0,41567.0
249,0.968,187.0,71082.0
250,2.209,15.0,24074.0
251,,,
252,3.325,14.0,27588.0
253,,,
254,,,
255,,,
256,0.882,194.0,26884.0
257,1.776,8.0,162878.0
258,2.884,72.0,26858.0
259,,,
260,,,
261,1.834,60.0,35088.0
262,2.4,225.0,28902.0
263,0.40299999999999997,11.0,25621.0
264,,,
265,1.112,15.0,1422.0
266,3.859,11.0,18107.0
267,0.7659999999999999,64.0,23408.0
268,0.639,60.0,21045.0
269,,,
270,,,
271,1.681,139.0,56160.0
272,4.16,12.0,34291.0
273,8.407,205.0,94282.0
274,2.275,225.0,60441.0
275,,,
276,4.302,206.0,61270.0
277,2.475,14.0,28331.0
278,0.836,225.0,24222.0
279,7.021,216.0,163820.0
280,1.62,225.0,33674.0
281,5.682,225.0,44288.0
282,,,
283,8.712,225.0,26957.0
284,,,
285,7.8870000000000005,217.0,14122.0
286,2.362,15.0,63272.0
287,,,
288,1.167,194.0,40752.0
289,,,
290,2.213,61.0,31122.0
291,0.249,205.0,24188.0
292,3.91,87.0,31657.0
293,1.9969999999999999,14.0,42461.0
294,4.629,7.0,71354.0
295,1.314,12.0,43227.0
296,0.257000000000001,11.0,357.0
297,3.6710000000000003,136.0,9169.0
298,4.478,62.0,67609.0
299,,,
300,4.6819999999999995,63.0,16142.0
301,,,
302,,,
303,0.396,205.0,24201.0
304,0.56,221.0,25675.0
305,6.022,60.0,161061.0
306,,,
307,1.4469999999999998,140.0,23640.0
308,2.841,44.0,411857.0
309,,,
310,5.091,225.0,22402.0
311,3.937,164.0,56166.0
312,0.36799999999999894,225.0,57149.0
313,3.363,176.0,41950.0
314,0.976,216.0,163383.0
315,,,
316,2.65,227.0,1944.0
317,0.36700000000000005,58.0,41724.0
318,0.772,205.0,24186.0
319,3.917,164.0,61179.0
320,7.051,221.0,43436.0
321,1.018,167.0,16674.0
322,,,
323,0.785,194.0,73174.0
324,,,
325,3.531,227.0,156336.0
326,0.39899999999999997,164.0,109291.0
327,0.8170000000000001,69.0,65184.0
328,,,
329,0.8220000000000001,62.0,77994.0
330,,,
331,0.41700000000000104,225.0,37413.0
332,,,
333,2.068,61.0,26844.0
334,3.812,70.0,30337.0
335,1.044,186.0,26170.0
336,1.015,56.0,2033.0
337,0.723,62.0,157612.0
