,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
10996,mp-559071,Ag8Bi8S12Cl8,Ag2Bi2S3Cl2,1.0,0.9488770740799143,1.0,0.946236559139785,1.0,0.8672044238392778,1.0,0.8969635411461426
10997,mp-559081,Na12Mn6O12,Na2MnO2,0.0,0.006780458332169957,1.0,0.6231884057971014,1.0,0.5208041149492851,1.0,0.5882329935348253
10998,mp-559084,Na8Al6Ge6Br2O24,Na4Al3Ge3BrO12,1.0,0.7909258233789453,1.0,0.696969696969697,1.0,0.7887336692471497,1.0,0.8645641538890984
10999,mp-559085,Y16W8O48,Y2WO6,1.0,0.9806616279880309,1.0,0.9468085106382979,1.0,0.8570489619015506,1.0,0.9540314276644682
11002,mp-559092,Sc1F3,ScF3,1.0,0.9966325407896413,1.0,1.0,1.0,0.6940533539480361,1.0,0.8429792727850624
11003,mp-559093,Tl8Bi4P8S28,Tl2BiP2S7,1.0,0.9998860123742028,1.0,0.946236559139785,1.0,0.8976109353857176,1.0,0.9895434824195397
11006,mp-559100,In8Te8Mo4O40,In2Te2MoO10,1.0,0.9997119200139974,1.0,0.9468085106382979,1.0,0.8788418780187455,1.0,0.9063252304616982
11009,mp-559106,K2Li6Pb2O8,KLi3PbO4,0.0,0.29319823741535206,1.0,0.9468085106382979,1.0,0.6888080827745381,1.0,0.7509954114377955
11010,mp-559109,Er8Ge8Bi8O40,ErGeBiO5,1.0,0.9995171804043784,1.0,0.9468085106382979,1.0,0.86414387712725,1.0,0.7901219379727751
11011,mp-559111,Na8Tb4Mo4P4O32,Na2TbMoPO8,1.0,0.9988170987219388,1.0,0.9782608695652174,1.0,0.5999812700722935,1.0,0.6577784305594291
11015,mp-559118,Cs1Ta1P2O8,CsTa(PO4)2,1.0,0.9997104661987489,1.0,0.9574468085106383,1.0,0.7023746886814527,1.0,0.9468582495289175
11018,mp-559122,W4O12,WO3,1.0,0.9714668109708722,1.0,0.8709677419354839,1.0,0.7566341262156346,1.0,0.9665697347987571
11019,mp-559123,Y6Si6N6O12,YSiNO2,1.0,0.9999986762109807,1.0,0.9782608695652174,1.0,0.8505483676410719,1.0,0.9852515424201349
11020,mp-559125,Cr6Hg3O21,Cr2HgO7,1.0,0.5267919102433274,1.0,0.9782608695652174,1.0,0.7127982905836946,1.0,0.8778851392547885
11022,mp-559127,K2Zn2Si8O19,K2Zn2Si8O19,1.0,0.5335993122690843,1.0,0.6231884057971014,1.0,0.7162149954745438,1.0,0.5834102466544597
