,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
8053,mp-540981,Cs4H4S4O16,CsHSO4,1.0,0.9986563639007642,1.0,0.7583333333333333,1.0,0.5062947212648257,1.0,0.6421732332403235,5.2916
8060,mp-541006,Ba4Tl4V4O16,BaTlVO4,1.0,0.9999651140006408,1.0,0.7714285714285715,1.0,0.844613355649069,1.0,0.9685116481734379,3.5893000000000006
8061,mp-541007,Ba4Dy8Mn4O20,BaDy2MnO5,1.0,0.8898103231507656,1.0,0.9468085106382979,1.0,0.8764838171553138,1.0,0.9120461951015775,1.6909999999999998
8065,mp-541018,Mn4P16O44,MnP4O11,1.0,0.9968412784659559,1.0,0.7777777777777778,1.0,0.8428992778853811,1.0,0.9826479968629297,3.849
8070,mp-541035,Cs2U2N6O22,CsUN3O11,1.0,0.9888794248075637,1.0,0.946236559139785,1.0,0.671556067684682,1.0,0.8274343318148806,2.4216
8072,mp-541040,Y4Be4Ge2O14,Y2Be2GeO7,1.0,0.9793518450034572,1.0,0.9782608695652174,1.0,0.9094490557489934,1.0,0.9235840342267757,4.5458
8079,mp-541062,Ca12Ga4As12,Ca3GaAs3,1.0,0.9995972739575967,1.0,0.896551724137931,1.0,0.6933022478565674,1.0,0.8917078282665857,0.33640000000000025
8080,mp-541071,K4Zr4P8H4O32,KZrP2HO8,1.0,0.8878112037559793,1.0,0.8333333333333334,1.0,0.537885831470354,1.0,0.5659742351760926,4.2158999999999995
8085,mp-541090,Ce4Se8O24,Ce(SeO3)2,1.0,0.9672989700941008,1.0,0.7777777777777778,1.0,0.7585995825621589,1.0,0.8580034022715982,1.3410000000000002
8088,mp-541096,Cs4U4Nb4O24,CsUNbO6,1.0,0.8924368092467534,1.0,0.7714285714285715,1.0,0.5926071763705884,1.0,0.8286134486892808,2.1254
8089,mp-541097,Zr6Pb2O8F12,Zr3Pb(O2F3)2,1.0,0.9999493313044591,1.0,0.9782608695652174,1.0,0.8595592720747822,1.0,0.7720792786863755,2.9537
8095,mp-541112,Zr4I16,ZrI4,1.0,0.9999992281141533,1.0,0.696969696969697,1.0,0.5887064128461252,1.0,0.5822428719086468,2.0534
8096,mp-541113,Cs12P28,Cs3P7,1.0,0.9972815550475023,1.0,0.7583333333333333,1.0,0.7277504789706406,1.0,0.9814888681669284,2.3442000000000003
8110,mp-541164,Hg18As8O32,Hg9(AsO4)4,1.0,0.9915353864361284,1.0,0.9468085106382979,1.0,0.8365971695363692,1.0,0.9048898667497204,1.7852000000000001
8111,mp-541167,Rb4Ho4P16O48,RbHo(PO3)4,1.0,0.9999747793999054,1.0,0.946236559139785,1.0,0.8070455466277537,1.0,0.9361698463326471,5.5243
8116,mp-541193,Hg28Cl8O12,Hg7Cl2O3,1.0,0.9999649704022215,1.0,0.7333333333333333,1.0,0.6662867604663777,1.0,0.6102402577200879,0.9253
8119,mp-541214,K8S16O24,KS2O3,1.0,0.5981612076477563,1.0,0.9468085106382979,1.0,0.5623768126209483,1.0,0.8000012897588111,3.7769
