material_id,MP_sg,OQMD_sg,AFLOW_sg_orig,AFLOW_sg_relax
mp-2624,216,216,216,216
mp-2630,139,139,,
mp-2632,62,62,,
mp-2633,205,205,205,205
mp-2646,164,164,164,164
mp-2650,14,14,,
mp-2651,165,,,
mp-2652,206,206,,
mp-2653,186,186,186,186
mp-2657,136,136,,
mp-2659,12,12,12,12
mp-2667,221,221,,
mp-2669,13,,13,13
mp-2672,64,64,64,64
mp-2691,216,,216,216
mp-2693,225,,,
mp-2695,58,58,,
mp-2697,139,139,,
mp-2706,139,139,,
mp-2715,14,14,,
mp-2718,205,205,205,205
mp-2739,96,96,,
mp-2741,225,225,225,225
mp-2753,14,14,,
mp-2758,225,225,,
mp-2763,164,164,164,164
mp-2782,92,,,
mp-2784,225,225,225,225
mp-2789,204,204,204,204
mp-2793,12,,12,12
mp-2798,36,36,,
mp-2804,9,9,9,9
mp-2809,62,62,,
mp-2815,194,194,194,194
mp-2826,167,167,167,167
mp-2833,62,62,62,62
mp-2843,15,15,,
mp-2852,220,220,220,220
mp-2853,225,,225,225
mp-2857,225,,,
mp-2858,14,14,,
mp-2874,12,12,,
mp-2878,62,62,,
mp-2879,62,62,,
mp-2882,33,33,,
mp-2883,227,227,,
mp-2884,72,,,
mp-2892,62,62,,
mp-2894,216,216,,
mp-2895,62,62,,
mp-2898,88,88,,
mp-2908,227,227,,
mp-2910,127,127,,
mp-2911,14,14,,
mp-2918,194,194,,
mp-2920,167,167,,
mp-2921,230,,,
mp-2931,15,15,,
mp-2940,141,141,,
mp-2943,225,225,,
mp-2948,164,164,,
mp-2951,15,,15,15
mp-2955,62,62,,
mp-2956,148,,,
mp-2961,122,122,,
mp-2963,14,,,
mp-2964,44,44,,
mp-2969,14,14,,
mp-2970,2,2,,
mp-2973,217,,,
mp-2979,33,33,,
mp-2980,15,15,,
mp-2981,2,,,
mp-2983,205,,,
mp-2991,139,139,,
mp-2994,148,148,,
mp-2998,221,123,,
mp-3006,164,164,164,164
mp-3009,62,62,,
mp-3017,186,186,,
mp-3019,140,140,,
mp-3031,62,62,,
mp-3032,62,62,,
mp-3033,12,12,,
mp-3038,82,82,82,82
mp-3041,227,227,,
mp-3042,225,225,,
mp-3047,63,63,,
mp-3050,230,,,
mp-3051,62,62,,
mp-3054,15,15,,
mp-3056,166,166,,
mp-3062,12,12,,
mp-3070,12,12,,
mp-3073,15,15,,
mp-3074,139,139,,
mp-3075,62,,,
mp-3078,122,122,,
mp-3079,182,182,,
mp-3080,36,,36,36
mp-3081,62,62,,
mp-3082,180,180,,
mp-3094,4,4,,
mp-3098,194,194,194,194
mp-3102,62,62,,
mp-3104,129,129,,
mp-3107,160,160,,
mp-3114,32,,,
mp-3118,148,148,,
mp-3123,60,60,60,60
mp-3125,139,139,,
mp-3136,221,221,221,221
mp-3138,227,227,,
mp-3142,205,,205,205
mp-3143,63,63,,
mp-3144,15,15,15,15
mp-3151,15,15,,
mp-3153,88,,,
mp-3154,217,,,
mp-3159,82,82,82,82
mp-3160,76,,,
mp-3161,216,,,
mp-3163,221,221,,
mp-3164,62,62,,
mp-3167,82,82,,
mp-3172,214,214,214,214
mp-3175,59,59,,
mp-3180,14,,,
mp-3187,62,,62,62
mp-3188,136,136,,
mp-3193,14,14,,
mp-3195,12,12,,
mp-3196,62,,,
mp-3200,227,227,,
mp-3203,13,13,,
mp-3205,59,59,,
mp-3211,164,164,,
mp-3216,164,164,,
mp-3224,142,,,
mp-3228,31,31,,
mp-3236,164,164,,
mp-3237,14,,,
mp-3248,141,141,,
mp-3249,148,,,
mp-3252,84,84,,
mp-3257,72,72,,
mp-3261,62,,,
mp-3267,7,,,
mp-3269,121,121,,
mp-3273,148,148,,
mp-3277,82,82,,
mp-3281,36,36,36,36
mp-3282,148,,,
mp-3283,2,2,,
mp-3285,167,167,,
mp-3288,152,,152,152
mp-3297,137,137,,
mp-3307,216,216,,
mp-3311,57,57,,
mp-3312,2,2,2,2
mp-3316,74,,74,74
mp-3317,62,62,,
mp-3318,62,62,,
mp-3319,227,227,,
mp-3323,221,221,,
mp-3324,15,15,,
mp-3332,166,166,,
mp-3334,227,227,,
mp-3335,227,227,,
mp-3336,167,,,
mp-3338,33,33,,
mp-3342,12,12,,
mp-3347,148,148,,
mp-3349,139,139,,
mp-3359,139,139,,
mp-3361,58,,,
mp-3368,14,,14,14
mp-3370,227,227,,
mp-3372,62,62,,
mp-3374,60,,,
mp-3376,139,139,,
mp-3378,62,62,,
mp-3379,63,63,,
mp-3382,127,,,
mp-3384,230,,,
mp-3387,140,140,,
mp-3393,205,,,
mp-3395,11,11,,
mp-3397,14,14,,
mp-3404,150,150,,
mp-3405,194,,,
mp-3411,176,176,,
mp-3414,206,206,,
mp-3416,14,14,,
mp-3417,60,60,,
mp-3419,140,140,,
mp-3427,92,92,,
mp-3432,216,216,,
mp-3435,220,220,,
