,material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
10034,mp-1323,Al16F48,,,,,,,,4.009271715479342,s,Al,0.5;0.0;0.090699,0.051675936713824665,3.5521987946164595,p,F,0.628749;0.128749;0.090746,0.07465156755721371
10035,mp-1403,Sm8S12,0.8126000000000002,1.0,0.8126000000000002,0.0,1.0,0.0,1.0,2.6260719339584595,d,Sm,0.25;0.143246;0.79544,0.13226680537326185,2.8602453462720403,p,S,0.25;0.875052;0.067649,0.09032429685892752
10036,mp-14131,K8Pd4N16O32,,,,,,,,3.942816911030469,p,N,0.636758;0.512371;0.605343,0.04175770175654437,4.0153767351640814,p,O,0.823797;0.201845;0.066282,0.05307594787414461
10037,mp-14817,Pr4P20O56,,,,,,,,3.6084985828489207,d,Pr,0.811941;0.224228;0.499293,0.14824949803915524,3.7319481756488164,p,O,0.615227;0.418545;0.876257,0.042297397410629066
10038,mp-14827,Li56Nb8N32,,,,,,,,4.009421928868536,d,Nb,0.127539;0.872461;0.372461,0.0751531794264758,4.171069528131216,p,N,0.255373;0.013669;0.990399,0.029919728191983762
10039,mp-14835,Nd16Si8S12O28,,,,,,,,3.1795976620994724,d,Nd,0.670139;0.156891;0.513248,0.10897632008271492,2.9265788580158567,p,S,0.375;0.625;0.75,0.1900872033425045
10040,mp-14836,Pr16Si8Se12O28,,,,,,,,3.399295860603768,d,Pr,0.209222;0.948986;0.739764,0.095460028361526,3.1513499182796583,p,Se,0.75;0.25;0.5,0.16080121686281604
10041,mp-14837,Sm16Si8Se12O28,,,,,,,,3.328725147490732,d,Sm,0.541627;0.780958;0.239331,0.1002651254695962,3.1848686851324683,p,Se,0.0;0.0;0.0,0.16187857815708234
10042,mp-14853,Ba3Er4O9,3.2746,1.0,3.2746,0.0,1.0,0.0,1.0,2.8989553525498986,d,Ba,0.83482;0.83482;0.83482,0.18100556567429485,2.671581680044015,p,O,0.421943;0.957633;0.537679,0.0985777494744701
10043,mp-14854,Sr8Li4In4B16O40,,,,,,,,3.973558769226986,s,In,0.072417;0.747373;0.38459,0.1097541326444464,3.6607266242111134,p,O,0.916288;0.426698;0.285926,0.06789482710074665
10044,mp-14858,Rb8Tc12S26,,,,,,,,,,,,,,,,,
