material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-31125,Zr4Cr8Si10,[99577],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ibam', 'number': 72, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-I 2 2c'}",Zr2Cr4Si5
mp-31147,Ba2Zn2Si2,[106316],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}",BaZnSi
mp-31148,Ba2Zn2Sn2,[106317],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}",BaZnSn
mp-31153,Ca4Ge4Pt4,"[602354, 106343]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}",CaGePt
mp-31158,Ca7Ni4Sn13,[106354],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4/m', 'number': 83, 'point_group': '4/m', 'crystal_system': 'tetragonal', 'hall': '-P 4'}",Ca7Ni4Sn13
mp-3118,Mg6Te2O12,"[6309, 23611, 9089]",3.2862,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3', 'number': 148, 'point_group': '-3', 'crystal_system': 'trigonal', 'hall': '-R 3'}",Mg3TeO6
mp-31205,Zr6Fe2,"[634167, 634184, 634152, 634169, 106700, 634182]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}",Zr3Fe
mp-31213,Sr4Ti3O10,[34630],1.7862999999999998,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}",Sr4Ti3O10
mp-31219,Si6W10,"[652550, 73331]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mcm', 'number': 140, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2c'}",Si3W5
mp-31257,Mo30S38,"[413406, 644260]",0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/m', 'number': 176, 'point_group': '6/m', 'crystal_system': 'hexagonal', 'hall': '-P 6c'}",Mo15S19
mp-31307,Ba32Sn16Se80,[414418],1.0762,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_12_12_1', 'number': 19, 'point_group': '222', 'crystal_system': 'orthorhombic', 'hall': 'P 2ac 2ab'}",Ba2SnSe5
mp-31394,Ca28Sn24,[54618],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}",Ca7Sn6
mp-31404,Mg5Si6,[54780],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/m', 'number': 12, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2y'}",Mg5Si6
mp-31498,Ba2Pt2,[55492],0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}",BaPt
mp-3163,Ba1Sn1O3,"[239582, 186899, 180138, 181091, 190601, 188149, 424820, 43138, 185615, 27049, 184338]",0.3948999999999998,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}",BaSnO3
mp-3164,Ba4S4O16,"[76926, 33730, 100623, 33732, 180338, 44414, 31894, 200112, 68308, 16904, 154286, 186426, 180339, 16917, 33733, 33731, 190065, 33735, 33734, 180337, 167519]",5.9709,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}",BaSO4
mp-3175,Ba2Ti8O18,"[49575, 31783, 48019]",2.7312,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pmmn', 'number': 59, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': 'P 2 2ab -1ab'}",BaTi4O9
