Band gap,Band gap-units,Band gap-conditions,Band gap-methods,Band gap-dataType,Band gap energy (E$_g^{expt}$),Band gap energy (E$_g^{expt}$)-units,Band gap energy (E$_g^{expt}$)-dataType,Band gap energy (E$_g^{GW}$),Band gap energy (E$_g^{GW}$)-units,Band gap energy (E$_g^{GW}$)-methods,Band gap energy (E$_g^{DFT+U}$),Band gap energy (E$_g^{DFT+U}$)-units,Band gap energy (E$_g^{DFT+U}$)-methods,chemicalFormula,references,Crystallinity,Structure,Crystal structure
2.3,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cd1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.05,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cu2S1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
3.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Sn1Cl2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
6.37,eV,"{'name': 'Temperature', 'scalars': [{'value': '10'}], 'units': 'K'}",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Rb1I1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.3,eV,"{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Ge1Te2,[{'doi': '10.1063/1.3253115'}],,,
0.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,ZrC,[{'doi': '10.1063/1.3253115'}],,,
5.15,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Fe1I2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.6,eV,,{'name': 'Estimated'},EXPERIMENTAL,,,,,,,,,,Sc1N1,[{'doi': '10.1063/1.3253115'}],,,
0.55,eV,"{'name': 'Temperature', 'scalars': [{'value': '873'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,PrO,[{'doi': '10.1063/1.3253115'}],,,
7.69,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Mg1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
