Band gap,Band gap-units,Band gap-conditions,Band gap-methods,Band gap-dataType,Band gap energy (E$_g^{expt}$),Band gap energy (E$_g^{expt}$)-units,Band gap energy (E$_g^{expt}$)-dataType,Band gap energy (E$_g^{GW}$),Band gap energy (E$_g^{GW}$)-units,Band gap energy (E$_g^{GW}$)-methods,Band gap energy (E$_g^{DFT+U}$),Band gap energy (E$_g^{DFT+U}$)-units,Band gap energy (E$_g^{DFT+U}$)-methods,chemicalFormula,references,Crystallinity,Structure,Crystal structure
1.517,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Electroreflection'},EXPERIMENTAL,,,,,,,,,,Cd1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.1,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Al1As1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
10.3,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,K1F1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.64,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Se1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.286,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",{'name': 'Magnetoabsorption'},EXPERIMENTAL,,,,,,,,,,Pb1S1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.25,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ag1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.51,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Zn3As2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Cs3Sb1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
3.1,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Tl1Br1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.04,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Nd1As1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.922,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '85'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Bi1I3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Pt1P2,[{'doi': '10.1063/1.3253115'}],,,
1.18,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Tm1As1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1Se1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.015,eV,"{'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}",{'name': 'Magnetoreflection'},EXPERIMENTAL,,,,,,,,,,Bi,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.97,eV,"{'name': 'Temperature', 'scalars': [{'value': '873'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Nd2O3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.7,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,La2Se3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
5.62,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.7'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Li1I1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
6.8,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cs1Br1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.43,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,La3Te4,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.25,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cs3Sb1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
3.88,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Zn1S1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.77,eV,"{'name': 'Temperature', 'scalars': [{'value': '70'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sr1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.3,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Ru1Sb2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
8.1,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Rb1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ir1S2,[{'doi': '10.1063/1.3253115'}],,,
1.288,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pr1Te2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.947,eV,"{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1O2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.35,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Zn1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.99,eV,"{'name': 'Temperature', 'scalars': [{'value': '573'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Yb2O3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.41,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Pb1S1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,UO,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.89,eV,"{'name': 'Temperature', 'scalars': [{'value': '290'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Mo1S2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Y1N1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.12,eV,"{'name': 'Temperature', 'scalars': [{'value': '339'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,V1O2,[{'doi': '10.1063/1.3253115'}],,,
5.61,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,K1I1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.195,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Bi1I3,[{'doi': '10.1063/1.3253115'}],,,
2.6,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Dy1N1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.3,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Gd1Te1,[{'doi': '10.1063/1.3253115'}],,,
1.84,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cd1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.332,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Te,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Ga2Te3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Tl1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.935,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '70'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Mo1S2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.39,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ga1N1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.58,eV,"{'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Cd3P2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
4.17,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cu1N3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.228,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G1 to X1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '2'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Al1As1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.62,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sm1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
4.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Si3N4,[{'doi': '10.1063/1.3253115'}],Amorphous,,
5.38,eV,"{'name': 'Temperature', 'scalars': [{'value': '70'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ca1S1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.55,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Cd3P2,[{'doi': '10.1063/1.3253115'}],,,
0.34,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '373'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Pb1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.8,eV,"{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Pr2Se3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.85,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Zn1P2,[{'doi': '10.1063/1.3253115'}],,,
2.3,eV,,,EXPERIMENTAL,,,,,,,,,,Ga2Se3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.691,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ag1Br1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.163,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Eu3S4,[{'doi': '10.1063/1.3253115'}],,,
0.88,eV,"{'name': 'Temperature', 'scalars': [{'value': '510'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Pr1O2,[{'doi': '10.1063/1.3253115'}],,,
6.36,eV,"{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Rb1I1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.4,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,P,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.12,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ga1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.91,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Bi2O3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.98,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1Se2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.236,eV,"{'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,In1Sb1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Pb1O2,[{'doi': '10.1063/1.3253115'}],,,
2.73,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to A axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pb1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
4.3,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1O2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.25,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Mn1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.2,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cd1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
6.2,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Estimated'},EXPERIMENTAL,,,,,,,,,,Cs1I1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.8,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,MnSi,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.1,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Fe1Si1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.2,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Cr1Sb1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.4,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pb1O2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.161,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Bi2Se3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
7.4,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Estimated'},EXPERIMENTAL,,,,,,,,,,Cs1Cl1,[{'doi': '10.1063/1.3253115'}],,,
0.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Estimated'},EXPERIMENTAL,,,,,,,,,,Cd1In1,[{'doi': '10.1063/1.3253115'}],,,
0.41,eV,"{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}",{'name': 'Magnetoabsorption'},EXPERIMENTAL,,,,,,,,,,In1As1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.41,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pb1S1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.26,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1Te1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.81,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Se,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.508,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Zn1Sb1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.05,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ga2Se3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.78,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Eu1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.733,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Cd1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.874,eV,"{'name': 'Temperature', 'scalars': [{'value': '250'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Mo1S2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.7,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Ga1Te1,[{'doi': '10.1063/1.3253115'}],,,
0.73,eV,"{'name': 'Temperature', 'scalars': [{'value': '373'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Co1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.29,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Pb1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2Te3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.334,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4'}], 'units': 'K'}]",{'name': 'Magnetoabsorption'},EXPERIMENTAL,,,,,,,,,,Te,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.19,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,In1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.66,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Bi1Br3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
3,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Sm2S3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
8.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Na1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.54,eV,"{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As1I3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '600'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,MnSi,[{'doi': '10.1063/1.3253115'}],,,
0.05,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Ni1As2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.03,eV,"{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Bi1I3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Pt1As2,[{'doi': '10.1063/1.3253115'}],,,
3.5,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Electroreflection'},EXPERIMENTAL,,,,,,,,,,Ti1O2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
10.39,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Be1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
5.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pr1F3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
8.29,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Rb1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Pd1O1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
