,jarvis_bg_tbmbj,jarvis_bg_opt,jarvis_spillage
456,1.9399,1.6907,
457,,4.2546,
458,10.4701,7.4812,
459,,,
460,2.8716,2.8443,
461,,,
462,,,
463,,,
464,,6.372999999999999,
465,,6.9817,
466,,,
467,,,
468,,7.266,
469,,,
470,2.2358,1.4581,
471,,,
472,3.8959,2.4137,
473,,,
474,5.9719,3.02,
475,,3.1863,
476,2.9133,1.8656,
477,,,
478,,,
479,,,
480,,,
481,,,
482,2.0125,1.7638,
483,1.5731,1.5366,
484,,,
485,2.1013,0.4283,
486,,,
487,,,
488,,,
489,,,
490,2.3422,1.4625,
491,2.2279,1.1282,
492,,7.8869,
493,4.41,2.7341,
494,,,
495,,,
496,,5.1165,
497,,,
498,1.9477,1.3025,
499,,,
500,,,
501,2.5507,1.6278,
502,,,
503,,,
504,,3.6179,
505,,,
506,,6.6761,
507,8.4217,5.8332,
508,,,
509,,2.0883,
510,,,
511,,1.0919,
512,5.5622,3.426,
513,,,
514,,,
515,,,
516,6.9803,4.4812,
517,2.2837,1.6324,
518,,,
519,,,
520,,,
521,,,
522,,4.5514,
523,,,
524,,3.1707,
525,3.2205,2.0941,
526,,,
527,0.4828,0.231,
528,2.1657,0.5782,
529,,6.492000000000001,
530,1.4127,0.28600000000000003,
531,,,
532,,,
533,,,
534,,,
535,,,
536,,,
537,,,
538,,,
539,,2.5211,
540,5.2582,4.0085,
541,6.1464,4.3802,
542,4.4644,2.9916,
543,,1.7923,
544,,,
545,3.4173,1.4907,
546,4.4255,2.9751,
547,,0.8285,
548,5.4491,3.8523,
549,,,
550,,2.3539,
551,,,
552,,,
553,,,
554,,,
555,,,
556,6.0053,4.4604,
557,,,
558,,,
559,,,
560,,,
561,,,
562,,2.5906,
563,7.5763,4.562,
564,,,
565,,,
566,,,
567,,,
568,,7.0054,
569,1.4215,1.3232,
570,4.1359,3.4467,
571,2.0911,1.8442,
572,,,
573,,,
574,3.1196,2.7667,
575,,,
576,5.4202,3.0014,
577,3.2801,2.0666,
578,,,
579,,,
580,3.7675,2.6474,
581,,,
582,,,
583,,2.9851,
584,,,
585,,,
586,4.1217,2.8677,
